Item.Description,Item.Manufacturer,Item.PartsNo,問題点.No,問題点.内容,問題点.原因,問題点.発覚日時,問題点.Project,対策.応急処置,対策.恒久対策
圧力計,D社,P-423130,P167,詰まりが発生し、注入量が不安定,外的要因による損傷,2025/07/03,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,部品交換時期の明記
塩素ボンベ接続部,D社,P-550895,P168,電磁弁の固着,異物の混入,2025/07/15,塩素注入設備更新プロジェクト,センサーの再校正,材質を耐塩素性の高いものに変更
塩素ボンベ接続部,D社,P-481046,P169,パッキンの劣化,パッキンの経年劣化,2025/07/02,塩素注入設備更新プロジェクト,パッキンの増し締め,部品交換時期の明記
逆止弁,E社,P-612793,P170,制御盤が停止,外的要因による損傷,2025/07/24,塩素注入設備更新プロジェクト,制御盤の故障部品交換,材質を耐塩素性の高いものに変更
配管接続部,D社,P-483123,P171,センサーが応答しない,塩素ガスの侵入,2025/07/10,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,定期点検マニュアルの更新
サンプリングライン,E社,P-202424,P172,詰まりが発生し、注入量が不安定,異物の混入,2025/07/25,塩素注入設備更新プロジェクト,フィルターの交換,部品交換時期の明記
流量計,A社,P-728164,P173,塩素漏れが発生,締め付けトルクの不足,2025/07/21,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
配管接続部,A社,P-893117,P174,塩素漏れが発生,外的要因による損傷,2025/07/12,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,締め付けトルク管理の徹底
流量計,B社,P-470131,P175,詰まりが発生し、注入量が不安定,塩素ガスの侵入,2025/07/05,塩素注入設備更新プロジェクト,フィルターの交換,製品の選定見直し
インジェクター,B社,P-965770,P176,センサーが応答しない,外的要因による損傷,2025/07/15,塩素注入設備更新プロジェクト,フィルターの交換,締め付けトルク管理の徹底
インジェクター,B社,P-280708,P177,配管の亀裂,塩素ガスの侵入,2025/07/23,塩素注入設備更新プロジェクト,センサーの再校正,製品の選定見直し
フィルター,B社,P-411548,P178,センサーが応答しない,塩素ガスの侵入,2025/07/04,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
制御盤,F社,P-511340,P179,電磁弁の固着,パッキンの経年劣化,2025/07/30,塩素注入設備更新プロジェクト,パッキンの増し締め,自動洗浄機能の導入を検討
インジェクター,B社,P-450717,P180,センサーが応答しない,締め付けトルクの不足,2025/07/22,塩素注入設備更新プロジェクト,制御盤の故障部品交換,締め付けトルク管理の徹底
ポンプ,C社,P-996837,P181,パッキンの劣化,電源系統の不安定,2025/07/28,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,定期点検マニュアルの更新
サンプリングライン,D社,P-164188,P182,パッキンの劣化,塩素ガスの侵入,2025/07/15,塩素注入設備更新プロジェクト,制御盤の故障部品交換,材質を耐塩素性の高いものに変更
インジェクター,B社,P-843306,P183,塩素漏れが発生,外的要因による損傷,2025/07/29,塩素注入設備更新プロジェクト,詰まり箇所の洗浄,締め付けトルク管理の徹底
フィルター,F社,P-324044,P184,パッキンの劣化,水質変動の影響,2025/07/21,塩素注入設備更新プロジェクト,接続部の増し締め,部品交換時期の明記
電磁弁,B社,P-345295,P185,塩素漏れが発生,定期点検の不備,2025/07/07,塩素注入設備更新プロジェクト,漏れ箇所の部品交換,防食・防湿処理を強化
サンプリングライン,C社,P-515779,P186,電磁弁の固着,定期点検の不備,2025/07/04,塩素注入設備更新プロジェクト,センサーの再校正,製品の選定見直し
塩素ボンベ接続部,D社,P-193384,P187,フィルターの目詰まり,部品の初期不良,2025/07/31,塩素注入設備更新プロジェクト,パッキンの増し締め,部品交換時期の明記
電磁弁,B社,P-726033,P188,センサーが応答しない,部品の初期不良,2025/07/29,塩素注入設備更新プロジェクト,接続部の増し締め,締め付けトルク管理の徹底
ポンプ,B社,P-202508,P189,塩素漏れが発生,水質変動の影響,2025/07/20,塩素注入設備更新プロジェクト,センサーの再校正,部品交換時期の明記
フィルター,A社,P-317188,P190,フィルターの目詰まり,塩素ガスの侵入,2025/07/23,塩素注入設備更新プロジェクト,フィルターの交換,締め付けトルク管理の徹底
逆止弁,D社,P-311156,P191,電磁弁の固着,部品の初期不良,2025/07/21,塩素注入設備更新プロジェクト,パッキンの増し締め,製品の選定見直し
サンプリングライン,D社,P-632001,P192,センサーが応答しない,塩素ガスの侵入,2025/07/12,塩素注入設備更新プロジェクト,フィルターの交換,製品の選定見直し
電磁弁,E社,P-690921,P193,腐食による機能不全,パッキンの経年劣化,2025/07/03,塩素注入設備更新プロジェクト,パッキンの増し締め,自動洗浄機能の導入を検討
フィルター,E社,P-252205,P194,塩素漏れが発生,異物の混入,2025/07/20,塩素注入設備更新プロジェクト,センサーの再校正,定期点検マニュアルの更新
ポンプ,F社,P-881935,P195,詰まりが発生し、注入量が不安定,締め付けトルクの不足,2025/07/16,塩素注入設備更新プロジェクト,フィルターの交換,締め付けトルク管理の徹底
フィルター,C社,P-795206,P196,センサーが応答しない,部品の初期不良,2025/07/17,塩素注入設備更新プロジェクト,フィルターの交換,部品交換時期の明記
流量計,C社,P-637057,P197,パッキンの劣化,水質変動の影響,2025/08/03,塩素注入設備更新プロジェクト,パッキンの増し締め,防食・防湿処理を強化
流量計,B社,P-938120,P198,塩素漏れが発生,外的要因による損傷,2025/07/20,塩素注入設備更新プロジェクト,接続部の増し締め,材質を耐塩素性の高いものに変更
電磁弁,D社,P-797774,P199,フィルターの目詰まり,異物の混入,2025/07/19,塩素注入設備更新プロジェクト,フィルターの交換,防食・防湿処理を強化
配管接続部,F社,P-475271,P200,パッキンの劣化,部品の初期不良,2025/07/25,塩素注入設備更新プロジェクト,センサーの再校正,締め付けトルク管理の徹底
